 id  | recipe_api_id | ingredient_api_id 
-----+---------------+-------------------
   1 |        548450 |              2069
   2 |        548450 |             11233
   3 |        548450 |              1026
   4 |        548450 |          10011282
   5 |        548450 |              2036
   6 |        548450 |             11507
   7 |        613283 |             98853
   8 |        613283 |             16025
   9 |        613283 |             11233
  10 |        613283 |              1033
  11 |        246727 |          10016020
  12 |        246727 |             11124
  13 |        246727 |          10111143
  14 |        246727 |           1032009
  15 |        246727 |          10020499
  16 |        246727 |             11215
  17 |        246727 |           1022027
  18 |        246727 |             11282
  19 |        246727 |             11297
  20 |        246727 |             11529
  21 |        246727 |              6615
  22 |        695172 |             11457
  23 |        695172 |          10011693
  24 |        695172 |           1032009
  25 |        695172 |             11215
  26 |        695172 |             11282
  27 |        695172 |              1037
  28 |        695172 |          11320420
  29 |        695172 |             11260
  30 |        758622 |              2044
  31 |        758622 |          10011090
  32 |        758622 |          10311529
  33 |        758622 |          11320420
  34 |        758622 |             11215
  35 |        758622 |             11291
  36 |        758622 |              9156
  37 |        758622 |          10011821
  38 |        758622 |             93701
  39 |        758622 |             11641
  40 |        611822 |             93607
  41 |        611822 |             11424
  42 |        611822 |              8120
  43 |        611822 |           1002035
  44 |        694949 |             11457
  45 |        694949 |          10311529
  46 |        694949 |             11215
  47 |        694949 |              7927
  48 |        694949 |              1033
  49 |        694949 |             20124
  50 |        446450 |              2069
  51 |        446450 |             20040
  52 |        446450 |             12087
  53 |        446450 |             11156
  54 |        446450 |             11215
  55 |        446450 |             12147
  56 |        446450 |           1032009
  57 |        446450 |              2036
  58 |        446450 |             11677
  59 |        446450 |             11507
  60 |        446450 |             11887
  61 |        525578 |             11011
  62 |        525578 |          10016051
  63 |        525578 |          10011693
  64 |        525578 |             11124
  65 |        525578 |          10020499
  66 |        525578 |             11215
  67 |        525578 |             11304
  68 |        525578 |              1038
  69 |        525578 |          10011457
  70 |        525578 |             11294
  71 |        525578 |              6615
  72 |        573041 |             93607
  73 |        573041 |              9040
  74 |        573041 |             99075
  75 |        573041 |             11422
  76 |        696739 |             15001
  77 |        696739 |          10011693
  78 |        696739 |           1032009
  79 |        696739 |              2044
  80 |        696739 |             11215
  81 |        696739 |             15184
  82 |        696739 |          10020124
  83 |        759293 |          10311529
  84 |        759293 |             18375
  85 |        759293 |              2018
  86 |        759293 |              1019
  87 |        759293 |             11215
  88 |        759293 |             12220
  89 |        759293 |             11233
  90 |        759293 |             11260
  91 |        759293 |              1031
  92 |        759293 |              2027
  93 |        695600 |          10016051
  94 |        695600 |              2044
  95 |        695600 |             11215
  96 |        695600 |           1039195
  97 |        695600 |          11020420
  98 |        695600 |              1038
  99 |        695600 |          10211821
 100 |        695600 |             11529
 101 |        508233 |              2004
 102 |        508233 |             11485
 103 |        508233 |             11124
 104 |        508233 |             11143
 105 |        508233 |             99226
 106 |        508233 |             11215
 107 |        508233 |             11333
 108 |        508233 |           1022027
 109 |        508233 |             11233
 110 |        508233 |             11246
 111 |        508233 |             11821
 112 |        508233 |             11529
 113 |        508233 |             11477
 114 |        497270 |             16051
 115 |        497270 |             11124
 116 |        497270 |              6194
 117 |        497270 |             11215
 118 |        497270 |              7927
 119 |        497270 |             11233
 120 |        497270 |          10511282
 121 |        474360 |              9037
 122 |        474360 |              9160
 123 |        474360 |             18075
 124 |        474360 |             11297
 125 |        474360 |             11529
 126 |        735809 |              2009
 127 |        735809 |              2044
 128 |        735809 |             11215
 129 |        735809 |             20138
 130 |        735809 |             12087
 131 |        735809 |             11955
 132 |        735809 |             11529
 133 |        735809 |             93701
 134 |        735809 |             18375
 135 |        516621 |           1032009
 136 |        516621 |             11463
 137 |        516621 |             11215
 138 |        516621 |             93651
 139 |        516621 |              1037
 140 |        516621 |          10111549
 141 |        516621 |              2027
 142 |        516621 |             11821
 143 |        516621 |          10011282
 144 |        516621 |          10120124
 145 |        697245 |          10016051
 146 |        697245 |              2044
 147 |        697245 |             11215
 148 |        697245 |           1039195
 149 |        697245 |          11020420
 150 |        697245 |              1038
 151 |        697245 |          10211821
 152 |        697245 |             11529
 153 |        198272 |          10016051
 154 |        198272 |             11124
 155 |        198272 |          10111143
 156 |        198272 |              6194
